Car_id;Date;Customer Name;Gender;Annual Income;Dealer_Name;Company;Model;Engine;Transmission;Color;Price ($);Dealer_No ;Body Style;Phone;Dealer_Region
C_CND_000025;1/2/2022;Lizzie;Male;672000;Suburban Ford;Volkswagen;Jetta;DoubleÂ Overhead Camshaft;Auto;Pale White;22000;53546-9427;Passenger;8570849;Janesville
C_CND_000026;1/2/2022;Florian;Male;801250;Tri-State Mack Inc;Dodge;Viper;DoubleÂ Overhead Camshaft;Auto;Pale White;31250;85257-3102;SUV;8520534;Scottsdale
C_CND_000027;1/2/2022;Cassandre;Female;820000;U-Haul CO;Buick;Regal;DoubleÂ Overhead Camshaft;Auto;Black;19000;78758-7841;Passenger;6362556;Austin
C_CND_000028;1/2/2022;Syrielle;Male;791000;Progressive Shippers Cooperative Association No;Chrysler;LHS;Overhead Camshaft;Manual;Pale White;41000;53546-9427;Hatchback;6281210;Janesville
C_CND_000029;1/2/2022;Sloane;Male;13500;Race Car Help;Chrysler;LHS;Overhead Camshaft;Manual;Pale White;41000;78758-7841;Hatchback;6292720;Janesville
C_CND_000030;1/2/2022;Sofia;Male;1020000;Ryder Truck Rental and Leasing;Saturn;LW;Overhead Camshaft;Manual;Pale White;13000;06457-3834;Hatchback;7698986;Scottsdale
C_CND_000031;1/2/2022;Sophia;Male;210000;Saab-Belle Dodge;Mitsubishi;3000GT;Overhead Camshaft;Manual;Pale White;20000;60504-7114;Sedan;8847858;Austin
C_CND_000032;1/2/2022;Sophie;Male;750000;Scrivener Performance Engineering;Mercedes-B;SLK230;Overhead Camshaft;Manual;Pale White;14000;38701-8047;Hatchback;8344679;Middletown
C_CND_000033;1/2/2022;Stella;Male;635000;Star Enterprises Inc;Honda;Accord;DoubleÂ Overhead Camshaft;Auto;Pale White;19000;99301-3882;Sedan;6827044;Aurora
C_CND_000034;1/2/2022;Suri;Male;675000;Tri-State Mack Inc;Honda;Civic;Overhead Camshaft;Manual;Black;43000;85257-3102;Hatchback;7954038;Greenville
C_CND_000035;1/2/2022;Sury;Male;880000;U-Haul CO;Jaguar;S-Type;DoubleÂ Overhead Camshaft;Auto;Black;16000;78758-7841;Passenger;7400390;Pasco
C_CND_000036;1/3/2022;Haley;Male;13500;Diehl Motor CO Inc;Volvo;S40;DoubleÂ Overhead Camshaft;Auto;Pale White;42000;06457-3834;Sedan;7153628;Middletown
C_CND_000037;1/3/2022;Hannah;Male;13500;Enterprise Rent A Car;Mercury;Mountaineer;DoubleÂ Overhead Camshaft;Auto;Pale White;21000;60504-7114;SUV;6125796;Aurora
C_CND_000038;1/3/2022;Haylee;Male;13500;Gartner Buick Hyundai Saab;Buick;Park Avenue;DoubleÂ Overhead Camshaft;Auto;Black;61000;38701-8047;Hatchback;7438037;Greenville
C_CND_000039;1/3/2022;Hayley;Male;941000;Hatfield Volkswagen;Mitsubishi;Montero Sport;DoubleÂ Overhead Camshaft;Auto;Pale White;39000;99301-3882;SUV;6837588;Pasco
C_CND_000040;1/3/2022;Harry;Female;13500;Star Enterprises Inc;Nissan;Sentra;DoubleÂ Overhead Camshaft;Auto;Black;16000;99301-3882;Passenger;7213857;Pasco
C_CND_000041;1/3/2022;Henry;Male;13500;Suburban Ford;Chrysler;Sebring Coupe;Overhead Camshaft;Manual;Pale White;26000;53546-9427;Sedan;7704004;Janesville
C_CND_000042;1/3/2022;Hersh;Female;13500;Tri-State Mack Inc;Volvo;S80;Overhead Camshaft;Manual;Pale White;21000;85257-3102;Sedan;8018700;Scottsdale
C_CND_000043;1/3/2022;Hershel;Male;967500;U-Haul CO;Chevrolet;Lumina;Overhead Camshaft;Manual;Black;42500;78758-7841;Passenger;6793858;Austin
C_CND_000044;1/3/2022;Aicha;Male;600000;Diehl Motor CO Inc;Mitsubishi;Montero Sport;DoubleÂ Overhead Camshaft;Auto;Black;45001;06457-3834;Hatchback;6739543;Middletown
C_CND_000045;1/3/2022;Aisha;Male;575000;Enterprise Rent A Car;Pontiac;Bonneville;Overhead Camshaft;Manual;Black;36001;60504-7114;Hatchback;6091237;Aurora
C_CND_000046;1/3/2022;Aissatou;Male;566000;Gartner Buick Hyundai Saab;Mercedes-B;C-Class;Overhead Camshaft;Manual;Pale White;12000;38701-8047;Hatchback;6547535;Greenville
C_CND_000047;1/3/2022;Alana;Male;1250000;Hatfield Volkswagen;BMW;323i;Overhead Camshaft;Manual;Pale White;21001;99301-3882;Hatchback;8689761;Pasco
C_CND_000048;1/3/2022;Chloe;Male;730000;Rabun Used Car Sales;Acura;TL;DoubleÂ Overhead Camshaft;Auto;Pale White;29000;85257-3102;Hatchback;6404807;Scottsdale
C_CND_000049;1/3/2022;Valentine;Male;4060000;Race Car Help;Nissan;Altima;DoubleÂ Overhead Camshaft;Auto;Pale White;20000;78758-7841;Hatchback;7117432;Austin
C_CND_000050;1/3/2022;Aurore;Male;13500;Ryder Truck Rental and Leasing;Cadillac;DeVille;DoubleÂ Overhead Camshaft;Auto;Pale White;22000;06457-3834;SUV;7836930;Middletown
C_CND_000051;1/3/2022;Nikita;Male;1180000;Saab-Belle Dodge;Dodge;Stratus;DoubleÂ Overhead Camshaft;Auto;Pale White;31000;60504-7114;Hatchback;7316398;Aurora
C_CND_000052;1/3/2022;Justine;Male;1360000;Progressive Shippers Cooperative Association No;Audi;A4;DoubleÂ Overhead Camshaft;Auto;Black;27000;53546-9427;Hardtop;7680267;Austin
C_CND_000053;1/3/2022;Sylvia;Female;640000;C & M Motors Inc;Mercury;Cougar;DoubleÂ Overhead Camshaft;Auto;Black;33000;60504-7114;Hatchback;6402878;Scottsdale
C_CND_000054;1/3/2022;Chloe;Male;615000;Scrivener Performance Engineering;Chevrolet;Malibu;Overhead Camshaft;Manual;Pale White;14000;38701-8047;Hardtop;7890478;Middletown
C_CND_000055;1/3/2022;Tamar;Male;520000;Chrysler of Tri-Cities;Acura;RL;Overhead Camshaft;Manual;Pale White;17000;99301-3882;SUV;8523869;Middletown
C_CND_000056;1/4/2022;Hazel;Male;1876000;Iceberg Rentals;Saturn;SW;DoubleÂ Overhead Camshaft;Auto;Pale White;25600;53546-9427;Passenger;8852693;Janesville
C_CND_000057;1/4/2022;Heaven;Male;13500;McKinney Dodge Chrysler Jeep;Volvo;C70;Overhead Camshaft;Manual;Black;17000;85257-3102;Hatchback;6444851;Scottsdale
C_CND_000058;1/4/2022;Heidi;Male;13500;Motor Vehicle Branch Office;Mercury;Mountaineer;Overhead Camshaft;Manual;Pale White;21000;78758-7841;SUV;6052630;Austin
C_CND_000059;1/4/2022;Hershy;Male;890000;Buddy Storbeck's Diesel Service Inc;Mercedes-B;C-Class;Overhead Camshaft;Manual;Pale White;12000;06457-3834;Hatchback;8939776;Middletown
C_CND_000060;1/4/2022;Hudson;Male;1800000;C & M Motors Inc;Mercedes-B;SLK;Overhead Camshaft;Manual;Pale White;17000;60504-7114;Passenger;7177888;Aurora
C_CND_000061;1/4/2022;Amare;Male;1330000;Ryder Truck Rental and Leasing;Toyota;Tacoma;Overhead Camshaft;Manual;Black;36000;06457-3834;Hardtop;6139882;Janesville
C_CND_000062;1/4/2022;Alexandria;Male;393000;Iceberg Rentals;Mercedes-B;C-Class;Overhead Camshaft;Manual;Pale White;17000;53546-9427;Hatchback;7181009;Janesville
C_CND_000063;1/4/2022;Alexis;Male;440000;McKinney Dodge Chrysler Jeep;Mercedes-B;M-Class;Overhead Camshaft;Manual;Pale White;41000;85257-3102;Hatchback;7936565;Austin
C_CND_000064;1/4/2022;Alyssa;Female;280000;Nebo Chevrolet;Audi;A6;DoubleÂ Overhead Camshaft;Auto;Black;14000;06457-3834;SUV;7419754;Middletown
C_CND_000065;1/4/2022;Coline;Male;1151000;Scrivener Performance Engineering;Dodge;Intrepid;DoubleÂ Overhead Camshaft;Auto;Pale White;31100;38701-8047;Sedan;8637804;Greenville
C_CND_000066;1/4/2022;Annaelle;Male;1650000;Star Enterprises Inc;Buick;Park Avenue;DoubleÂ Overhead Camshaft;Auto;Black;61000;99301-3882;Hatchback;8380613;Pasco
C_CND_000067;1/4/2022;Anais;Male;13500;Suburban Ford;Dodge;Viper;Overhead Camshaft;Manual;Black;26000;53546-9427;SUV;6595676;Janesville
C_CND_000068;1/4/2022;Taylor;Male;895000;Chrysler Plymouth;Toyota;Sienna;Overhead Camshaft;Manual;Black;12000;53546-9427;Passenger;7244029;Aurora
C_CND_000069;1/4/2022;Tessa;Female;660000;Classic Chevy;Volvo;S40;DoubleÂ Overhead Camshaft;Auto;Pale White;42000;85257-3102;Sedan;6741165;Greenville
C_CND_000070;1/4/2022;Toby;Male;13500;Clay Johnson Auto Sales;Mitsubishi;Diamante;DoubleÂ Overhead Camshaft;Auto;Pale White;21000;78758-7841;Hatchback;8822935;Pasco
C_CND_000071;1/5/2022;Heidy;Male;1636000;Nebo Chevrolet;Cadillac;DeVille;DoubleÂ Overhead Camshaft;Auto;Pale White;22600;06457-3834;SUV;8026457;Middletown
C_CND_000072;1/5/2022;Helen;Female;1000000;New Castle Ford Lincoln Mercury;Jaguar;S-Type;Overhead Camshaft;Manual;Pale White;45000;60504-7114;Passenger;8872334;Aurora
C_CND_000073;1/5/2022;Imani;Female;745000;Pars Auto Sales;Mitsubishi;Eclipse;Overhead Camshaft;Manual;Black;25000;38701-8047;SUV;6204993;Greenville
C_CND_000074;1/5/2022;Ingrid;Male;300000;Pitre Buick-Pontiac-Gmc of Scottsdale;Ford;Contour;DoubleÂ Overhead Camshaft;Auto;Pale White;62000;99301-3882;Sedan;7031644;Pasco
C_CND_000075;1/5/2022;Irene;Male;1097000;Progressive Shippers Cooperative Association No;Volkswagen;Jetta;DoubleÂ Overhead Camshaft;Auto;Black;22700;53546-9427;Passenger;7179280;Janesville
C_CND_000076;1/5/2022;Iris;Female;542000;Rabun Used Car Sales;Mitsubishi;Montero Sport;DoubleÂ Overhead Camshaft;Auto;Black;45000;85257-3102;SUV;6245275;Scottsdale
C_CND_000077;1/5/2022;Hunter;Male;1200000;Chrysler of Tri-Cities;Lincoln;Town car;Overhead Camshaft;Manual;Black;17000;99301-3882;Hatchback;7072635;Pasco
C_CND_000078;1/5/2022;James;Male;490000;Motor Vehicle Branch Office;Ford;Focus;Overhead Camshaft;Manual;Black;49000;78758-7841;Hardtop;6766211;Austin
C_CND_000079;1/5/2022;Ilan;Male;410000;Classic Chevy;Audi;A6;Overhead Camshaft;Manual;Black;15000;85257-3102;SUV;8011357;Scottsdale
C_CND_000080;1/5/2022;Isaac;Male;930000;Clay Johnson Auto Sales;Acura;TL;DoubleÂ Overhead Camshaft;Auto;Black;28000;78758-7841;Hatchback;7539127;Austin
C_CND_000081;1/5/2022;Aaron;Male;480000;Tri-State Mack Inc;Nissan;Pathfinder;DoubleÂ Overhead Camshaft;Auto;Pale White;46000;85257-3102;Hardtop;6559063;Greenville
C_CND_000082;1/5/2022;Israel;Female;1360000;Enterprise Rent A Car;Ford;Mustang;Overhead Camshaft;Manual;Pale White;43000;60504-7114;Hatchback;8082987;Aurora
C_CND_000083;1/5/2022;Amara;Male;2200000;New Castle Ford Lincoln Mercury;Oldsmobile;Cutlass;DoubleÂ Overhead Camshaft;Auto;Pale White;41000;60504-7114;Sedan;7328070;Aurora
C_CND_000084;1/5/2022;Amaya;Female;1100000;Pars Auto Sales;Chevrolet;Corvette;DoubleÂ Overhead Camshaft;Auto;Pale White;45000;38701-8047;SUV;7078803;Greenville
C_CND_000085;1/5/2022;Amelia;Male;13500;Pitre Buick-Pontiac-Gmc of Scottsdale;Chevrolet;Impala;Overhead Camshaft;Manual;Pale White;22001;99301-3882;Hatchback;8636283;Pasco
C_CND_000086;1/5/2022;Amia;Male;1700000;Progressive Shippers Cooperative Association No;Volkswagen;Cabrio;Overhead Camshaft;Manual;Pale White;25001;53546-9427;Sedan;7109521;Janesville
C_CND_000087;1/5/2022;Amina;Male;1908000;Rabun Used Car Sales;Dodge;Dakota;Overhead Camshaft;Manual;Pale White;12800;85257-3102;Sedan;7305344;Scottsdale
C_CND_000088;1/5/2022;Aminata;Male;13500;Race Car Help;Chrysler;300M;DoubleÂ Overhead Camshaft;Auto;Black;26000;78758-7841;SUV;8941079;Austin
C_CND_000089;1/5/2022;Alizee;Male;13500;Tri-State Mack Inc;BMW;328i;DoubleÂ Overhead Camshaft;Auto;Black;18000;85257-3102;Sedan;6136111;Scottsdale
C_CND_000090;1/5/2022;Caroline;Male;2550000;U-Haul CO;Oldsmobile;Bravada;DoubleÂ Overhead Camshaft;Auto;Pale White;19000;78758-7841;Hatchback;8001444;Austin
C_CND_000091;1/5/2022;Wadia;Male;1245000;Buddy Storbeck's Diesel Service Inc;Nissan;Maxima;Overhead Camshaft;Manual;Pale White;22500;06457-3834;Sedan;7696195;Middletown
C_CND_000092;1/5/2022;Mauricio;Male;13500;Race Car Help;Dodge;Ram Pickup;Overhead Camshaft;Manual;Pale White;21001;78758-7841;Hardtop;8188037;Austin
C_CND_000093;1/5/2022;Maximilian;Male;1115000;Saab-Belle Dodge;Chrysler;Concorde;DoubleÂ Overhead Camshaft;Auto;Pale White;46500;60504-7114;Hardtop;8351089;Aurora
C_CND_000094;1/5/2022;Elisa;Male;13500;Chrysler of Tri-Cities;Chrysler;300M;DoubleÂ Overhead Camshaft;Auto;Pale White;16000;99301-3882;SUV;6130679;Pasco
C_CND_000095;1/5/2022;Tzipora;Male;2110000;Diehl Motor CO Inc;Volvo;V70;DoubleÂ Overhead Camshaft;Auto;Black;39000;06457-3834;Passenger;6260413;Janesville
C_CND_000096;1/5/2022;Tziporah;Female;13500;Enterprise Rent A Car;Nissan;Quest;Overhead Camshaft;Manual;Black;19000;60504-7114;SUV;8750989;Scottsdale
C_CND_000097;1/5/2022;Tzippy;Male;1050000;Gartner Buick Hyundai Saab;Chrysler;LHS;DoubleÂ Overhead Camshaft;Auto;Black;26000;38701-8047;Hatchback;6784534;Austin
C_CND_000098;1/5/2022;Tzivia;Male;13500;Hatfield Volkswagen;Honda;Accord;Overhead Camshaft;Manual;Black;43000;99301-3882;Sedan;7944735;Janesville
C_CND_000099;1/5/2022;Valentina;Female;13500;Iceberg Rentals;Nissan;Maxima;Overhead Camshaft;Manual;Pale White;54000;53546-9427;Sedan;8099375;Scottsdale
C_CND_000100;1/5/2022;Valerie;Male;320000;McKinney Dodge Chrysler Jeep;Dodge;Durango;DoubleÂ Overhead Camshaft;Auto;Pale White;22000;85257-3102;SUV;6641303;Austin
C_CND_000101;1/6/2022;Isabel;Male;13500;Race Car Help;Lexus;ES300;DoubleÂ Overhead Camshaft;Auto;Black;16001;78758-7841;SUV;8158584;Austin
C_CND_000102;1/6/2022;Isabela;Female;760000;Ryder Truck Rental and Leasing;BMW;328i;DoubleÂ Overhead Camshaft;Auto;Black;16001;06457-3834;Sedan;7159142;Middletown
C_CND_000103;1/6/2022;Ivan;Male;1390000;Gartner Buick Hyundai Saab;Toyota;Land Cruiser;DoubleÂ Overhead Camshaft;Auto;Pale White;12000;38701-8047;SUV;7495544;Greenville
C_CND_000104;1/6/2022;Abel;Male;659000;Buddy Storbeck's Diesel Service Inc;Mercedes-B;SL-Class;Overhead Camshaft;Manual;Black;38000;06457-3834;Hardtop;6682438;Janesville
C_CND_000105;1/6/2022;Amira;Male;1330000;Ryder Truck Rental and Leasing;Ford;Explorer;DoubleÂ Overhead Camshaft;Auto;Pale White;42000;06457-3834;Hatchback;7189696;Middletown
C_CND_000106;1/6/2022;Amirah;Male;13500;Saab-Belle Dodge;Nissan;Pathfinder;DoubleÂ Overhead Camshaft;Auto;Pale White;21000;60504-7114;Hatchback;8844816;Aurora
C_CND_000107;1/6/2022;Mathias;Female;13500;Chrysler Plymouth;Volvo;C70;DoubleÂ Overhead Camshaft;Auto;Black;49000;53546-9427;Hatchback;8002612;Janesville
C_CND_000108;1/6/2022;Noel;Male;1362000;Chrysler of Tri-Cities;Chevrolet;Prizm;Overhead Camshaft;Manual;Pale White;21200;99301-3882;Hardtop;6633882;Pasco
C_CND_000109;1/6/2022;Vanessa;Male;480000;Motor Vehicle Branch Office;Mercury;Grand Marquis;Overhead Camshaft;Manual;Pale White;71000;78758-7841;SUV;8884667;Middletown
C_CND_000110;1/6/2022;Vera;Female;365000;Nebo Chevrolet;Chevrolet;Camaro;DoubleÂ Overhead Camshaft;Auto;Pale White;17000;06457-3834;Sedan;6759578;Aurora
C_CND_000111;1/9/2022;Isabella;Female;481000;Saab-Belle Dodge;Subaru;Outback;DoubleÂ Overhead Camshaft;Auto;Pale White;57001;60504-7114;SUV;6376331;Aurora
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
